id,text
1860808710928454067,thefrogsouprame bluerei naegiko they didnt consent to have their art used in that way especially for most commercial gen ai they are getting no compensation are you stupid do you understand the ethical problems gen ai creates like genuinely are you just a lazy fuck who will die on the gen ai hill
1860798467011977633,kayninewrites rowanisred softagatha how someone could write for years and decide using ai art is ethical and okay to use makes no sense theyre lying out their ass
1860783005717176665,ai art revolution or threat discuss the ethical implications of aigenerated art aiart aiethics digitalart artificialintelligence
1860698588394971197,ai in music videos wake up wildflower the music video for wake up wildflower uses ai to create visuals that have fooled viewers into thinking they are watching humanmade art this has sparked both excitement and ethical debates regarding ais role in creative industries
1860694275467403362,skullxnft great concept and honestly the only original and ethical way ive seen of ai art being used
1860689971411140822,ai art is more ethical than real art
1860670188917502139,sadboiwesley thats not true its actually quite the opposite nobody like ai art expect you people do you realize that ethical training is to take into account the opinions of artists before using their art since the vast majority of artists hate ai art you simply wont have enough art
1860668827651932503,probably the same bedside manner as most doctors i think this is actually a really good use for ai what computers shouldnt be doing is making ethical decisions or art just for starters once ai renders a lot of jobs moot are we still going to do capitalism yall
1860639500377936019,ai can create stunning art but it can also create legal nightmares if it doesnt comply with gdpr consent isnt just a buzzwordits the foundation of ethical ai
1860634106649772202,future of ai in art lets talk about ais impact on arts future ethical questions about digital ownership and ai creativity are on the horizon futureart ethicsinai digitaldebate
1860609346217930852,exciting times in ai did you know that ai can now generate art that rivals human creativity as we continue to innovate lets embrace the potential of ai to enhance our lives while ensuring ethical development together we can shape a brighter future artificiali
1860552454862938394,dragonsofwales meh im an artist and ive used ai and ethicalphilosophicalwhatisart issues aside its like being an art director nothing less but nothing more there are great ads and there are not so great ones but thats what it is
1860489503628230789,exactlyyyyyy they cldve celebrated the intersection of art and technology in a much more ethical way like are vfx artists a joke to them damn instead theyre normalising and promoting the use of ai ughhh i hate how prevalent its become in kpop
1860447652493558221,nobody hates ai art except artists nobody as far as i can see the only issue is ethical training
1860432161783906815,mandates transparency on ai use emphasizing informed buyer decisionsa crucial move for ethical standards in digital art despite ais power companies like riot highlight the value of artistry insisting on a human touch in storytelling more
1860405988433522786,i think any aesthetic criticism of ai art is doomedwe should stick to ethical and especially labouroriented critiques that will always be relevant
1860380141849051580,the thing is that is your problem and not the consumers problem consumers dont really care about your cost they care only that they have a quality product to buy and many of them are turned off by ai art due to the ethical issues it creates there is no getting around that
1860337230025290184,yet each technological leap has also brought ethical and social challenges echoing todays tensions between generativity and control authenticity and originality and the impact of digital platforms on the art market
1860245580934500588,everyone who supports ai because it looks good is a monster the planet is fucking dying and this shit is the new coal mine its destroying art jobs and drinkable water there is no ethical reason to support it i dont care at all
1860093667467259916,marks the era where ai robotics and arvr reshape our world art construction designnothings untouched automations rise brings ethical dilemmas on job loss join me smith as we dissect these breakthroughs and their societal tremors matrix
1860081093803934089,blancafaymartin thepeopleshubuk housingfirstire lovefoodlifego socialhousingco blocksbetty ukparliament einconsumernews newsccp ethicalbanking weahscousin andrewgwynnemp drumeshprabhu petejacksongmp robertkennedyjr realdonaldtrump elonmusk abridgen neworder fivetimesaugust naomirwolf andersonafdmdep georgegalloway realdenisewelch pjhlaw thecoastguy drnomask andyburnhamgm if theres a better hillto die on than the rights and safety of women and children ive never found it adas army aiart smspirate
1860073977680658742,ecutruin my entire point with the og post was that it was completely understandable where that bash comes from however it tends to be excessive i dont have an issue with individuals using ai art as i agree it can be utilized in harmless ethical ways however it can
1860031327262957986,the problem doesnt stop at visual art textbased ai tools work the same way as shown by research from our team these tools use existing content to generate results raising questions about originality and ethical use read more
1859997819366707609,senkoinfinite naegiko if there were no people pushing ai without any ethical agenda and not caring about manmade art like this account we wouldnt have this discussion this user basically insults thousands of creators with their actions but harsh reactions arent allowed
1859848954780721401,ever thought about ais role in art or sustainability or those pesky ethical dilemmas buckle up whether youre a tech guru or newbie ive got insights with a sprinkle of humor techinsights
1859799657939075477,ecutruin no im quite literally saying that ai art can be made in a genuinely harmless and ethical way however i dont think it should be credited or popularized over real art done without ai
1859795610565738888,ai art is the most ethical form of art pencils are made out of woods therefore pencils kill trees
1859791877685629017,ai needs to disintegrate and die bc its just not ethical at all and its ruining the beauty of art in all forms and the fact that people are allowing it on this day to the point where its getting harder to tell the difference between real life and ai anymore is genuinely scary
1859755168239099971,getting creative with ai im nakarmaa s exploring how ai is changing the game in art music and design lets chat about the cool stuff ai brings to the table and the ethical puzzles it presents ready to peek into the future with me aiart creativity
1859686537753161896,xmas onlystore art aifaithethic ethical now jhonnyvallejossolano sales buy nfts collection aifree free ia freedom udio udiomusic
1859686184190165215,xmas onlystore art aifaithethic ethical now jhonnyvallejossolano sales buy nfts collection aifree free ia freedom udio udiomusic gifts
1859685465387041119,ethical ai news free ia art ethics jhonnyvallejossolano
1859640589668508006,this is the only conclusion of what youre saying you attack not only actual ai art but human art that is potentially visually confusable for ai thus your issue is with how it looks not whether it is humanmade or ethical
1859594812422545487,your ai twin is here plus ai art faces backlash stanford and deepmind created ai simulation agents mimicking human personalities with accuracy sparking research opportunities and ethical concerns subscribe below
1859591257405759820,notlikemonopoly trolllordgames except that isnt my argument my argument is that if you didnt create the ai program you didnt create the art it is unprofessional to use ai art in this fashion hire an artist or a ai coder either one would be a more ethical option
